[0. 0.]
[8.21670182e-05 8.21670182e-05]
[8.21670182e-05 8.21670182e-05]
[8.21670182e-05 1.36945030e-04]
[0.00013695 0.00019172]
[8.21670182e-05 3.56057079e-04]
[0.00016433 0.00065734]
[2.73890061e-05 1.06817124e-03]
[0.00030128 0.00167073]
[0.00016433 0.00251979]
[0.000493   0.00377968]
[0.00052039 0.00566952]
[0.00106817 0.00873709]
[0.00180767 0.0149544 ]
[0.00643642 0.03645477]
[0.0530525  0.10859741]
[0.06293994 0.03341459]
[0.06088576 0.01426967]
[0.05853031 0.00643642]
[0.0600367  0.00186245]
[0.06165265 0.00112295]
[0.06214565 0.00095862]
[0.05707869 0.000986  ]
[0.05486018 0.0019994 ]
[0.05770864 0.00046561]
[0.05861247 0.00104078]
[0.05970803 0.00043822]
[0.05414806 0.00090384]
[0.05088877 0.00038345]
[0.04949193 0.00084906]
[5.45041220e-02 5.47780121e-05]
[0.05666785 0.00084906]
[5.20938895e-02 5.47780121e-05]
[0.04713648 0.00030128]
[0.04754731 0.00027389]
[0.05146394 0.00095862]
[0.05409329 0.00046561]
[0.05332639 0.00013695]
[0.04784859 0.00057517]
[0.05214867 0.00060256]
[0.05516146 0.00043822]
[0.05612007 0.0007395 ]
[0.05863986 0.0007395 ]
[0.05776341 0.00046561]
[0.05790036 0.00060256]
[0.06162526 0.000493  ]
[0.06063926 0.00120512]
[0.05661308 0.00013695]
[0.05551752 0.00041084]
[0.05247734 0.00043822]
[0.05360028 0.00019172]
[0.0552984 0.0007395]
[0.05264167 0.00054778]
[0.04891676 0.00060256]
[0.04669826 0.00057517]
[0.04579442 0.00071211]
[0.04426063 0.00038345]
[0.04516447 0.00052039]
[0.04916327 0.00062995]
[0.0456027  0.00046561]
[0.04275424 0.00068473]
[0.04404152 0.00010956]
[0.04814987 0.00076689]
[0.05190217 0.0002465 ]
[0.04853332 0.00027389]
[0.0478212  0.00027389]
[0.050834   0.00082167]
[0.05346334 0.000986  ]
[5.25595026e-02 8.21670182e-05]
[0.04990277 0.00043822]
[0.04771165 0.00076689]
[0.04669826 0.00041084]
[0.04541097 0.00010956]
[0.04174085 0.00032867]
[0.04039878 0.00052039]
[0.04108351 0.00038345]
[0.03913889 0.00035606]
[3.74133823e-02 5.47780121e-05]
[0.03623566 0.00013695]
[0.03398976 0.00041084]
[0.03242858 0.        ]
[3.06756868e-02 5.47780121e-05]
[0.03031963 0.00079428]
[0.02881323 0.00054778]
[2.50609405e-02 2.73890061e-05]
[0.02432144 0.00027389]
[2.48418285e-02 2.73890061e-05]
[0.02171948 0.00019172]
[0.02706034 0.00054778]
[2.56634987e-02 2.73890061e-05]
[0.02377366 0.00038345]
[0.02429405 0.00117773]
[2.49513845e-02 2.73890061e-05]
[2.64030018e-02 5.47780121e-05]
[0.02848457 0.00038345]
[0.02522527 0.0002465 ]
[0.02396538 0.00035606]
[0.02555394 0.00013695]
[0.02582783 0.00041084]
[0.02632083 0.00046561]
[2.39106023e-02 8.21670182e-05]
[0.02128126 0.0002465 ]
[0.02026786 0.00021911]
[0.02037742 0.00016433]
[0.02218509 0.00043822]
[0.01906275 0.00032867]
[0.01027088 0.00013695]
[0.01051738 0.00054778]
[1.09829914e-02 8.21670182e-05]
[7.64153269e-03 8.21670182e-05]
[0.0049848  0.00032867]
[0.00169812 0.00071211]
[0.00076689 0.00016433]
[0.00210895 0.00019172]
[0.00191723 0.00043822]
[0.00328668 0.00016433]
[0.00145162 0.00041084]
[9.86004218e-04 5.47780121e-05]
[0.00041084 0.00030128]
[0.00186245 0.00021911]
[0.00213634 0.00021911]
[0.00325929 0.00035606]
[2.76628961e-03 8.21670182e-05]
[0.00106817 0.00030128]
[2.49239955e-03 2.73890061e-05]
[0.00361535 0.00032867]
[1.01339322e-03 2.73890061e-05]
[0.00054778 0.00027389]
[0.00262934 0.00021911]
[0.00394402 0.00038345]
[0.00588864 0.00030128]
[0.00536825 0.        ]
[1.01339322e-03 8.21670182e-05]
[0.00419052 0.00052039]
[0.00805237 0.00027389]
[5.83385829e-03 2.73890061e-05]
[0.00591603 0.00054778]
[0.00829887 0.00030128]
[0.00942182 0.00016433]
[0.01525568 0.00013695]
[0.01640601 0.0002465 ]
[0.01919969 0.0002465 ]
[2.24042070e-02 5.47780121e-05]
[0.02089781 0.00041084]
[0.02533483 0.00030128]
[0.02675906 0.00035606]
[0.02801895 0.00035606]
[0.02462272 0.00052039]
[2.32532661e-02 8.21670182e-05]
[0.02254115 0.00019172]
[0.01952836 0.00041084]
[0.01878886 0.00054778]
[1.50365643e-02 8.21670182e-05]
[1.33110569e-02 5.47780121e-05]
[0.01051738 0.00032867]
[0.01013393 0.        ]
[0.01043521 0.00057517]
[0.00438224 0.00010956]
[0.00071211 0.00010956]
[0.00205418 0.00084906]
[4.35485196e-03 2.73890061e-05]
[6.32686040e-03 8.21670182e-05]
[0.00561475 0.00030128]
[1.11199365e-02 5.47780121e-05]
[0.01547479 0.00013695]
[0.01336583 0.00065734]
[0.01599518 0.00043822]
[0.01835063 0.00043822]
[0.0229246  0.00084906]
[0.02530744 0.00010956]
[2.51704966e-02 8.21670182e-05]
[0.02916929 0.00019172]
[0.03048396 0.0002465 ]
[3.31680863e-02 2.73890061e-05]
[0.03136041 0.00046561]
[0.02988141 0.00013695]
[2.96075155e-02 8.21670182e-05]
[0.03029224 0.00038345]
[0.03355153 0.00013695]
[0.03708471 0.00016433]
[0.03593438 0.        ]
[0.03749555 0.00030128]
[0.03941278 0.00079428]
[0.04404152 0.00038345]
[0.04746515 0.00062995]
[0.04697215 0.00030128]
[0.04565747 0.00035606]
[0.0445893  0.00060256]
[0.05086138 0.00068473]
[0.05384679 0.00131467]
[0.05025883 0.00041084]
[0.05368245 0.00021911]
[0.05795514 0.00032867]
[0.05781819 0.00062995]
[0.06036537 0.00054778]
[0.06261127 0.00076689]
[0.06524061 0.00027389]
[0.06518583 0.00021911]
[0.06671962 0.000986  ]
[0.06795212 0.00046561]
[0.06910246 0.00068473]
[0.07069102 0.00057517]
[0.0675139  0.00084906]
[0.0697598  0.00079428]
[0.06912985 0.000986  ]
[0.06778779 0.00041084]
[0.0677604  0.00093123]
[0.06625401 0.00084906]
[0.06461067 0.00013695]
[0.06630878 0.00046561]
[0.0677604  0.00115034]
[0.0665279  0.00041084]
[0.06581578 0.00041084]
[0.06858207 0.00043822]
[0.07063625 0.0007395 ]
[0.07044452 0.000986  ]
[0.07211525 0.00046561]
[0.07118403 0.00090384]
[0.07044452 0.00076689]
[0.07148531 0.00087645]
[0.07288215 0.00052039]
[0.07101969 0.00112295]
[0.06797951 0.00131467]
[0.06669223 0.00057517]
[0.06625401 0.00101339]
[0.07077319 0.00087645]
[0.06836296 0.00071211]
[0.06724001 0.0007395 ]
[0.06737695 0.00060256]
[0.06841774 0.000986  ]
[0.07091014 0.00090384]
[0.07222481 0.00046561]
[0.06973241 0.00104078]
[0.06661006 0.00153378]
[0.07408726 0.00084906]
